"App ID";"App Name";"App URL";"App description";"Keywords";"Version";"Age rating";"Language(s)";"Developer ID";"Developer Name";"Price";"Currency";"Size";"Last update date";"Release Date";"Average user ratings-current";"Number of user ratings-current";"% of user ratings with 5 stars";"% of user ratings with 4 stars";"% of user ratings with 3 stars";"% of user ratings with 2 stars";"% of user ratings with 1 star";"Date"
985943104;"20 Rep Squat Calculator ";"https://itunes.apple.com/us/app/20-rep-squat-calculator/id985943104?mt=8";"No more fiddling with spreadsheets and print outs at the gym. This app calculates the weights you should use, based on your five rep max, for the 6-week 20-rep squat protocol. The app also makes it easy to keep track of where you are in the cycle and the progress you make from cycle to cycle.";"20 Rep Squat Calculator, Wide Swath Research, LLC, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";NA;4;"English";"874789503";"Wide Swath Research, LLC";0,99;"$";9,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;2018-10-10
645475962;"2016 AG Bell Convention ";"https://itunes.apple.com/us/app/2016-ag-bell-convention/id645475962?mt=8";"2016 AG Bell Convention";"2016 AG Bell Convention, Persource, Education, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"3.1";17;"English, Dutch";"332205386";"Persource";0;"0";35,1;2016-05-20;2013-05-11;NA;NA;NA;NA;NA;NA;NA;2018-10-10
1042799345;"2016 ICD 10 Pro Code - Offline browse and search of 2015/2016 CM & PCS code with MEDLINE info ";"https://itunes.apple.com/us/app/2016-icd-10-pro-code-offline-browse-search-2015-2016/id1042799345?mt=8";"** Updated for iOS 9 **   - Use Spotlight to search for top level terms, open directly in ICD 10 Browser  - Fixed minor bugsICD-10 Browser is the fastest offline browser for ICD-10 CM and ICD-10 PCS medical classifications. Advanced search by code and title allow for quick access to the 200,000+ classifications. Codes are supplemented with additional MEDLINE information when available. Select favorite codes for easy reference and access later. Use Spotlight search to find top level codes and open in app.";"2016 ICD 10 Pro Code - Offline browse and search of 2015/2016 CM & PCS code with MEDLINE info, Andrew Lin, Medical, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.03";17;"English";"900553143";"Andrew Lin";3,99;"$";210,6;2015-10-31;NA;NA;NA;NA;NA;NA;NA;NA;2018-10-10
1021189863;"21 Day Fit Container Tracker ";"https://itunes.apple.com/us/app/21-day-fit-container-tracker/id1021189863?mt=8";"21 Day Container Tracker Fit allows you to track your 21 day program using your smartphone. It's a quick fix to tracking your progress!No more trying to fix your mistakes with pen and paper. Simply tap containers to mark them as consumed and tap exercises to mark them as complete.Why choose this app? Simple, because it makes tracking easier and faster than any of the other 21 day apps!We calculate calories, containers, water, exercises. We create built-in reminders for you. We also prepare the recipes, shopping list, zings, seasonings… all for your convenienceThis app was developed by professional programmers under direct guidance by coaches and researchers who coach challengers just like you who do the 21 day program and know exactly what problems you will face.So this app is like having a personal coach waiting to track your containers, exercises, and body measurements as well as fix your weight!What are you waiting for? Get this app right now so that you can finish your 21 day program and fix up that body!+ If you like the app, please rate it or write a review! If you have a problem contact us so that we have a chance to help you and fix any issues (Contact us built-in app).+ Our app is very reliable. but if you do happen to find a bug, please let us know and we'll work hard to get you a new release to fix any bugs right away.Features:+ Tap & Track Your Containers, Water, Workouts, And Weight.+ Zings: Recipes, Treats, Seasonings, Beverages+ 21 Days, Quick Fit, and Maintain Weight.+ Smartly Adjust Food & Water Proportions Based On Daily Weight.+ Color Coded Containers for Each Meal While Seeing The Remaining Containers.+ Container Food Lists Are Included.+ Transformation Trackers+ Workouts Are Included.+ Reset-able Calendars .+ Simple, Clean design.+ Built-in Reminders.+ Support Both Kg & lbs.+ Support Both ml & oz.+...About us: VICTO IDEAS is a research lab, specializes in health & fitness technologies. We are the lab that created the famous Massage Pillow, Bedtime Sleep Fan, 7 Minute Workout Plus, Water Tracker, 20 Day Fit, 20/20 Diet For Life... (You may want to have a look at our apps -> tap on more by this developer/Thang Nguyen -> it will navigate to all the available apps)We created technologies to help more and more people improving their health & life experience.";"21 Day Fit Container Tracker, Thang Nguyen, Health & Fitness, Lifestyle, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"7.0";4;"English";"921360262";"Thang Nguyen";2,99;"$";2,8;NA;2015-08-31;NA;NA;NA;NA;NA;NA;NA;2018-10-10
1227680743;"22 Pushups ";"https://itunes.apple.com/us/app/22-pushups/id1227680743?mt=8";"Take the 22 pushup for 22 days challenge, the internet’s newest craze! Get in better shape, do good by raising awareness for post traumautic stress disorder and have lots of fun doing it!IT'S ALL ABOUT STREAKSKeep a streak going. Every 5 days of consecutive pushups, unlock a new coaching voice. CHALLENGE OTHERSIf you do 22 pushups in a forest and nobody sees it, does it count? No, it doesn’t. The app records your facial expressions while you pushup so you can upload and challenge other friends.STAY MOTIVATEDPushups are boring. Pushups with a coach cheering you on are awesome. Unlock different coaches that will say something motivational as you do pushups.LOOK MA, NO HANDSCounting to 22 can be hard work. Just put the phone below your chest and the app will do the counting for you. Plus it’ll keep a record of how many pushups you have done each day to see if you can complete 22 pushups for 22 days.COACHING PROGRAMCan’t do a single pushup? Don’t worry, 22 pushup challenge includes a coaching program that will build you up from 1 to 100.DIFFERENT PUSHUP MODESAre you a pushup monster? Advanced users can choose different workout modes:- Pushup for time - As many reps as possible pushups- Interval training pushupsAPPLE HEALTH INTEGRATIONDon’t let your hard work vanish without a trace. All the active energy from your workout is saved to Apple health.SIRI® INTEGRATIONJust turn on Siri and say “Start workout with 22 pushups” or “Stop workout with 22 pushups” to Siri to start your workout.iCLOUD INTEGRATION Save your hard earned pushup scores and streaks to iCloud and never lose them again.POST TRAUMATIC STRESS DISORDERAn estimated 22 former servicemen and women commit suicide every day as a result of suffering from mental health problems associated with their time in the military. By completing 22 pushups, posting a selfie to social media and tagging a friend you’re reminding someone of PTSD.Privacy Policy: https://www.famfitgames.com/privacy-policy-22-push-upsTerms of Use: https://www.famfitgames.com/terms-of-use";"22 Pushups, Family Fit, Health & Fitness, Lifestyle, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.7.2";4;"English, French, German, Italian, Japanese, Korean, Portuguese, Simplified Chinese, Spanish, Traditional Chinese";"1227680742";"Family Fit Limited";0;"0";123,2;2018-09-16;2017-05-23;4,5;939;75;2;6;12;4;2018-10-10
939636001;"247Patient ";"https://itunes.apple.com/us/app/247patient/id939636001?mt=8";"247Patient is an application truly like none other. Now your clinic is never more than just a touch away. Book, reschedule and cancel appointments with a touch of your finger - Anytime. Anywhere.Receive SMS reminders of your appointments to stay on top of your health. Tired of long clinic waiting times ? Receive instant SMS information if your doctor is delayed.247Patient ensures you always stay on top of your health.To access the clinic, 247Patient app requires the clinic to run the 247DoctorCare clinic management software. You need to get the clinic number from your clinic to run this app.Features List:- Choose your preferred doctor and time slot for your appointments- In- App Appointment Booking- SMS Appointment booking ( for non-smart phones)- Appointment Rescheduling and cancelling- SMS reminders of appointments- SMS confirmations of appointments- Doctor delay information For more information, visit www.247doctorcare.com";"247Patient, BIZINFO PTE. LTD., Medical, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.1";4;"English";"939636000";"BIZINFO PTE. LTD.";0;"0";3,5;NA;2015-02-16;NA;NA;NA;NA;NA;NA;NA;2018-10-10
394036321;"26point2 ";"https://itunes.apple.com/us/app/26point2/id394036321?mt=8";"**Quick note on version 1.0.19.  I think the app is now fixed for iOS5, but it's obviously not working for some.  Please consider contacting me at support@26point2app.com to let me know what is not working so I can fix it.  Thanks!**26point2 for iPhone is a marathon and half marathon application with features for both the runner and spectatorWritten by a marathon runner for marathon runners.  Every year since 2003 i've ran the Chicago Marathon.  The app is written for what I needed, probably similar to your needs.I developed 26point2 initially to make it easy to track my training, later I added the map to help my family locate me during the race.Originally designed for marathons (hence the name), half marathon functionality was added at version 1.0.9.  MAIN FEATURES* 4 marathon training plans, 1 half marathon plan.* Target Time Calculator.* Split Times (zero based and start time based) view and email.* v1.0.17 has 66 maps course maps with Smart Mile Markers which show on the map when the runner should be at each mile.* GPS tracking on any of the course maps shows the runner location when the runner is using the 26point2GPS app to send their position.* Supports as many events (or runners) as you wish.* Universal App FEATURE DETAILSEvents* Name, Distance, Date, Start Time information for each event* Active, Not Active Setting* Countdown to start of each event Training* 4 Marathon Plans 1x18 week, 3x17 week* 1x12 week Half Marathon Plan* Saturday or Sunday long run option* Create all records, or only future records option* Original PDF files included for referenceTarget Time Picker* Pace in time/mile or time/km* Speed in miles or kmSplit Times* Runner, Clock, Runner and Clock* Clock time is the time the runner should be at each mile marker.* Miles or km* Half Marathon or Marathon* Email functionalityMaps* 66 course maps -marathon (37), half marathon (29)* Zoom to Map, or Spectator location* View in Map, Sat or Mix mode* View all the maps at http://www.26point2app.com/features/marathon-maps* iPad maps require significant system memory, best to double tap home and end suspended apps which are no longer required.Settings* Miles or km, MDY or DMY dates* All or only Active Marathons* Runner and Spectator, Only Runner, Only Spectator splits* Create all plan records or only future plan records* Saturday or Sunday long run day  In App Purchase* Remove Ads added at version 1.0.13- This will stop the ads, especially convenient given the improved mapping functionality.More maps planned for later releases.  Request a map to be added at the website or via the setting option.Be the first to know!  Keep up to date on all 26point2 news. VISIT: 26point2app.comFOLLOW: twitter.com/26point2appLIKE: facebook.com/26point2app";"26point2, Jim Stewart, Health & Fitness, Lifestyle, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.0.19";4;"English";"394036324";"Jim Stewart";0;"0";4,4;NA;2010-09-28;3;33;21;0;12;30;36;2018-10-10
911931688;"2RunFree ";"https://itunes.apple.com/us/app/2runfree/id911931688?mt=8";"A simple and easy to use running app that tracks your current distance and time while you run.Note:Continued use of GPS running in the background can dramatically decrease battery life.";"2RunFree, Majid Wallace, Health & Fitness, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.1";4;"English";"911931691";"Majid Wallace";0;"0";0,43203125;2014-10-30;2014-10-24;NA;NA;NA;NA;NA;NA;NA;2018-10-10
683984802;"30 Day - Push Up Challenge ";"https://itunes.apple.com/us/app/30-day-push-up-challenge/id683984802?mt=8";"**Want to improve your health & fitness? Want the ultimate push up workout for your dream upper body? Then try the 30 Day Push Up Challenge for FREE!!**The 30 Day Push Up Challenge is a simple 30 day exercise plan, where you do a set number of push up exercises each day with rest days thrown in! The workout increases in intensity slowly and day 30 will test anyone. In total the app has 6 workouts with 15 push up exercise variations. The workouts and exercises are suitable for both men and women of any age and fitness levels.  You can also track your progress and share it with your friends via Facebook, Twitter and email!Try our other 30 day challenge and fitness apps too:- 30 Day Ab Challenge- 30 Day Cardio Challenge- 30 Day Firm Butt Challenge- 30 Day Plank Challenge- 30 Day Squat Challenge- 30 Day Thigh Slimming Challenge- 30 Day Toned Arms Challenge- 7 Minute Workouts- Paleo Food List- Fasting Timer- iStats- More apps coming soon!!Please seek medical advice prior to commencement.";"30 Day - Push Up Challenge, Jozic Productions Pty Ltd, Health & Fitness, Sports, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"5.3";4;"English";"470171631";"Jozic Productions Pty Ltd";0;"0";87;2018-02-26;NA;4,4;37;65;3;14;16;3;2018-10-10
1392225498;"30 Day Fitness Coach for Women ";"https://itunes.apple.com/us/app/30-day-fitness-coach-for-women/id1392225498?mt=8";"Fitness Coach for Women is home fitness workouts is ideal for those who want to work out at home, lose weight, lose belly fat fast, feel the body tonus and get in shape.Our free Fitness Coach app for women has home workouts that make it easy to work out wherever you are Get fit in 30 days. If you find it hard to Get fit. Use our Fitness Coach for Women, that can be done anywhere at anytime. 30 Day Workout is the best female home workout app for Fitness because of our variety of exercise routines and in-person trainer guidance. No equipment workouts are the best workouts!Fitness Coach for Women Trainings consist of different body Fitness exercises to do at home (legs exercises, hips exercises, calves exercises, abs exercises, exercises for bum, legs abs and buttocks workout, toned body workout, flat stomach workout, wall push up),There are also 15+ popular and effective exercise, which you can do individually, or as part of the Fitness exercise programs. There is something for everyone.Key Features:- Training plan for 30 days- Animated exercise demonstration- Diet for 30 days with a daily schedule and various products- No equipment , all you need is your body weight, only bodyweight fitnessFitness Coach for Girls [Daily Workouts Trainer]Download Now!";"30 Day Fitness Coach for Women, Swapna Puramsetty, Health & Fitness, Food & Drink, ios apps, app, appstore, app store, iphone, ipad, ipod touch, itouch, itunes";"1.0.2";4;"English";"1250456369";"Swapna Puramsetty";0;"0";25,7;2018-07-12;NA;NA;NA;NA;NA;NA;NA;NA;2018-10-10
